date_report,province,cases,cumulative_cases
2020-02-26,Manitoba,0,0
2020-02-27,Manitoba,0,0
2020-02-28,Manitoba,0,0
2020-02-29,Manitoba,0,0
2020-03-01,Manitoba,0,0
2020-03-02,Manitoba,0,0
2020-03-03,Manitoba,0,0
2020-03-04,Manitoba,0,0
2020-03-05,Manitoba,0,0
2020-03-06,Manitoba,0,0
2020-03-07,Manitoba,0,0
2020-03-08,Manitoba,0,0
2020-03-09,Manitoba,0,0
2020-03-10,Manitoba,0,0
2020-03-11,Manitoba,0,0
2020-03-12,Manitoba,1,1
2020-03-13,Manitoba,3,4
2020-03-14,Manitoba,0,4
2020-03-15,Manitoba,3,7
2020-03-16,Manitoba,1,8
2020-03-17,Manitoba,7,15
2020-03-18,Manitoba,2,17
2020-03-19,Manitoba,0,17
2020-03-20,Manitoba,0,17
2020-03-21,Manitoba,2,19
2020-03-22,Manitoba,0,19
2020-03-23,Manitoba,1,20
2020-03-24,Manitoba,1,21
2020-03-25,Manitoba,14,35
2020-03-26,Manitoba,1,36
2020-03-27,Manitoba,3,39
2020-03-28,Manitoba,25,64
2020-03-29,Manitoba,8,72
2020-03-30,Manitoba,24,96
2020-03-31,Manitoba,7,103
2020-04-01,Manitoba,24,127
2020-04-02,Manitoba,40,167
2020-04-03,Manitoba,15,182
2020-04-04,Manitoba,12,194
2020-04-05,Manitoba,9,203
2020-04-06,Manitoba,1,204
2020-04-07,Manitoba,13,217
2020-04-08,Manitoba,4,221
2020-04-09,Manitoba,3,224
2020-04-10,Manitoba,6,230
2020-04-11,Manitoba,13,243
2020-04-12,Manitoba,0,243
2020-01-25,New Brunswick,0,0
2020-01-26,New Brunswick,0,0
2020-01-27,New Brunswick,0,0
2020-01-28,New Brunswick,0,0
2020-01-29,New Brunswick,0,0
2020-01-30,New Brunswick,0,0
2020-01-31,New Brunswick,0,0
2020-02-01,New Brunswick,0,0
2020-02-02,New Brunswick,0,0
2020-02-03,New Brunswick,0,0
2020-02-04,New Brunswick,0,0
2020-02-05,New Brunswick,0,0
2020-02-06,New Brunswick,0,0
2020-02-07,New Brunswick,0,0
2020-02-08,New Brunswick,0,0
2020-02-09,New Brunswick,0,0
2020-02-10,New Brunswick,0,0
2020-02-11,New Brunswick,0,0
2020-02-12,New Brunswick,0,0
2020-02-13,New Brunswick,0,0
2020-02-14,New Brunswick,0,0
2020-02-15,New Brunswick,0,0
2020-02-16,New Brunswick,0,0
2020-02-17,New Brunswick,0,0
2020-02-18,New Brunswick,0,0
2020-02-19,New Brunswick,0,0
2020-02-20,New Brunswick,0,0
2020-02-21,New Brunswick,0,0
2020-02-22,New Brunswick,0,0
2020-02-23,New Brunswick,0,0
2020-02-24,New Brunswick,0,0
2020-02-25,New Brunswick,0,0
2020-02-26,New Brunswick,0,0
2020-02-27,New Brunswick,0,0
2020-02-28,New Brunswick,0,0
2020-02-29,New Brunswick,0,0
2020-03-01,New Brunswick,0,0
2020-03-02,New Brunswick,0,0
2020-03-03,New Brunswick,0,0
2020-03-04,New Brunswick,0,0
2020-03-05,New Brunswick,0,0
2020-03-06,New Brunswick,0,0
2020-03-07,New Brunswick,0,0
2020-03-08,New Brunswick,0,0
2020-03-09,New Brunswick,0,0
2020-03-10,New Brunswick,0,0
2020-03-11,New Brunswick,0,0
2020-03-12,New Brunswick,1,1
2020-03-13,New Brunswick,0,1
2020-03-14,New Brunswick,1,2
2020-03-15,New Brunswick,4,6
2020-03-16,New Brunswick,1,7
2020-03-17,New Brunswick,1,8
2020-03-18,New Brunswick,3,11
2020-03-19,New Brunswick,0,11
2020-03-20,New Brunswick,0,11
2020-03-21,New Brunswick,6,17
2020-03-22,New Brunswick,0,17
2020-03-23,New Brunswick,0,17
2020-03-24,New Brunswick,1,18
2020-03-25,New Brunswick,8,26
2020-03-26,New Brunswick,7,33
2020-03-27,New Brunswick,12,45
2020-03-28,New Brunswick,6,51
2020-03-29,New Brunswick,15,66
2020-03-30,New Brunswick,2,68
2020-03-31,New Brunswick,2,70
2020-04-01,New Brunswick,11,81
2020-04-02,New Brunswick,10,91
2020-04-03,New Brunswick,4,95
2020-04-04,New Brunswick,3,98
2020-04-05,New Brunswick,3,101
2020-04-06,New Brunswick,2,103
2020-04-07,New Brunswick,2,105
2020-04-08,New Brunswick,3,108
2020-04-09,New Brunswick,3,111
2020-04-10,New Brunswick,1,112
2020-04-11,New Brunswick,0,112
2020-04-12,New Brunswick,2,114
2020-01-25,NL,0,0
2020-01-26,NL,0,0
2020-01-27,NL,0,0
2020-01-28,NL,0,0
2020-01-29,NL,0,0
2020-01-30,NL,0,0
2020-01-31,NL,0,0
2020-02-01,NL,0,0
2020-02-02,NL,0,0
2020-02-03,NL,0,0
2020-02-04,NL,0,0
2020-02-05,NL,0,0
2020-02-06,NL,0,0
2020-02-07,NL,0,0
2020-02-08,NL,0,0
2020-02-09,NL,0,0
2020-02-10,NL,0,0
2020-02-11,NL,0,0
2020-02-12,NL,0,0
2020-02-13,NL,0,0
2020-02-14,NL,0,0
2020-02-15,NL,0,0
2020-02-16,NL,0,0
2020-02-17,NL,0,0
2020-02-18,NL,0,0
2020-02-19,NL,0,0
2020-02-20,NL,0,0
2020-02-21,NL,0,0
2020-02-22,NL,0,0
2020-02-23,NL,0,0
2020-02-24,NL,0,0
2020-02-25,NL,0,0
2020-02-26,NL,0,0
2020-02-27,NL,0,0
2020-02-28,NL,0,0
2020-02-29,NL,0,0
2020-03-01,NL,0,0
2020-03-02,NL,0,0
2020-03-03,NL,0,0
2020-03-04,NL,0,0
2020-03-05,NL,0,0
2020-03-06,NL,0,0
2020-03-07,NL,0,0
2020-03-08,NL,0,0
2020-03-09,NL,0,0
2020-03-10,NL,0,0
2020-03-11,NL,0,0
2020-03-12,NL,0,0
2020-03-13,NL,0,0
2020-03-14,NL,1,1
2020-03-15,NL,0,1
2020-03-16,NL,0,1
2020-03-17,NL,2,3
2020-03-18,NL,0,3
2020-03-19,NL,0,3
2020-03-20,NL,1,4
2020-03-21,NL,2,6
2020-03-22,NL,3,9
2020-03-23,NL,15,24
2020-03-24,NL,11,35
2020-03-25,NL,32,67
2020-03-26,NL,15,82
2020-03-27,NL,20,102
2020-03-28,NL,18,120
2020-03-29,NL,15,135
2020-03-30,NL,13,148
2020-03-31,NL,4,152
2020-04-01,NL,23,175
2020-04-02,NL,8,183
2020-04-03,NL,12,195
2020-04-04,NL,8,203
2020-04-05,NL,14,217
2020-04-06,NL,9,226
2020-04-07,NL,2,228
2020-04-08,NL,4,232
2020-04-09,NL,4,236
2020-04-10,NL,3,239
2020-04-11,NL,2,241
2020-04-12,NL,1,242
2020-01-25,Nova Scotia,0,0
2020-01-26,Nova Scotia,0,0
2020-01-27,Nova Scotia,0,0
2020-01-28,Nova Scotia,0,0
2020-01-29,Nova Scotia,0,0
2020-01-30,Nova Scotia,0,0
2020-01-31,Nova Scotia,0,0
2020-02-01,Nova Scotia,0,0
2020-02-02,Nova Scotia,0,0
2020-02-03,Nova Scotia,0,0
2020-02-04,Nova Scotia,0,0
2020-02-05,Nova Scotia,0,0
2020-02-06,Nova Scotia,0,0
2020-02-07,Nova Scotia,0,0
2020-02-08,Nova Scotia,0,0
2020-02-09,Nova Scotia,0,0
2020-02-10,Nova Scotia,0,0
2020-02-11,Nova Scotia,0,0
2020-02-12,Nova Scotia,0,0
2020-02-13,Nova Scotia,0,0
2020-02-14,Nova Scotia,0,0
2020-02-15,Nova Scotia,0,0
2020-02-16,Nova Scotia,0,0
2020-02-17,Nova Scotia,0,0
2020-02-18,Nova Scotia,0,0
2020-02-19,Nova Scotia,0,0
2020-02-20,Nova Scotia,0,0
2020-02-21,Nova Scotia,0,0
2020-02-22,Nova Scotia,0,0
2020-02-23,Nova Scotia,0,0
2020-02-24,Nova Scotia,0,0
2020-02-25,Nova Scotia,0,0
2020-02-26,Nova Scotia,0,0
2020-02-27,Nova Scotia,0,0
2020-02-28,Nova Scotia,0,0
2020-02-29,Nova Scotia,0,0
2020-03-01,Nova Scotia,0,0
2020-03-02,Nova Scotia,0,0
2020-03-03,Nova Scotia,0,0
2020-03-04,Nova Scotia,0,0
2020-03-05,Nova Scotia,0,0
2020-03-06,Nova Scotia,0,0
2020-03-07,Nova Scotia,0,0
2020-03-08,Nova Scotia,0,0
2020-03-09,Nova Scotia,0,0
2020-03-10,Nova Scotia,0,0
2020-03-11,Nova Scotia,0,0
2020-03-12,Nova Scotia,0,0
2020-03-13,Nova Scotia,0,0
2020-03-14,Nova Scotia,0,0
2020-03-15,Nova Scotia,3,3
2020-03-16,Nova Scotia,2,5
2020-03-17,Nova Scotia,2,7
2020-03-18,Nova Scotia,5,12
2020-03-19,Nova Scotia,2,14
2020-03-20,Nova Scotia,1,15
2020-03-21,Nova Scotia,6,21
2020-03-22,Nova Scotia,7,28
2020-03-23,Nova Scotia,13,41
2020-03-24,Nova Scotia,10,51
2020-03-25,Nova Scotia,17,68
2020-03-26,Nova Scotia,5,73
2020-03-27,Nova Scotia,17,90
2020-03-28,Nova Scotia,20,110
2020-03-29,Nova Scotia,12,122
2020-03-30,Nova Scotia,5,127
2020-03-31,Nova Scotia,20,147
2020-04-01,Nova Scotia,26,173
2020-04-02,Nova Scotia,20,193
2020-04-03,Nova Scotia,14,207
2020-04-04,Nova Scotia,29,236
2020-04-05,Nova Scotia,26,262
2020-04-06,Nova Scotia,31,293
2020-04-07,Nova Scotia,17,310
2020-04-08,Nova Scotia,32,342
2020-04-09,Nova Scotia,31,373
2020-04-10,Nova Scotia,34,407
2020-04-11,Nova Scotia,21,428
2020-04-12,Nova Scotia,17,445
2020-01-25,Nunavut,0,0
2020-01-26,Nunavut,0,0
2020-01-27,Nunavut,0,0
2020-01-28,Nunavut,0,0
2020-01-29,Nunavut,0,0
2020-01-30,Nunavut,0,0
2020-01-31,Nunavut,0,0
2020-02-01,Nunavut,0,0
2020-02-02,Nunavut,0,0
2020-02-03,Nunavut,0,0
2020-02-04,Nunavut,0,0
2020-02-05,Nunavut,0,0
2020-02-06,Nunavut,0,0
2020-02-07,Nunavut,0,0
2020-02-08,Nunavut,0,0
2020-02-09,Nunavut,0,0
2020-02-10,Nunavut,0,0
2020-02-11,Nunavut,0,0
2020-02-12,Nunavut,0,0
2020-02-13,Nunavut,0,0
2020-02-14,Nunavut,0,0
2020-02-15,Nunavut,0,0
2020-02-16,Nunavut,0,0
2020-02-17,Nunavut,0,0
2020-02-18,Nunavut,0,0
2020-02-19,Nunavut,0,0
2020-02-20,Nunavut,0,0
2020-02-21,Nunavut,0,0
2020-02-22,Nunavut,0,0
2020-02-23,Nunavut,0,0
2020-02-24,Nunavut,0,0
2020-02-25,Nunavut,0,0
2020-02-26,Nunavut,0,0
2020-02-27,Nunavut,0,0
2020-02-28,Nunavut,0,0
2020-02-29,Nunavut,0,0
2020-03-01,Nunavut,0,0
2020-03-02,Nunavut,0,0
2020-03-03,Nunavut,0,0
2020-03-04,Nunavut,0,0
2020-03-05,Nunavut,0,0
2020-03-06,Nunavut,0,0
2020-03-07,Nunavut,0,0
2020-03-08,Nunavut,0,0
2020-03-09,Nunavut,0,0
2020-03-10,Nunavut,0,0
2020-03-11,Nunavut,0,0
2020-03-12,Nunavut,0,0
2020-03-13,Nunavut,0,0
2020-03-14,Nunavut,0,0
2020-03-15,Nunavut,0,0
2020-03-16,Nunavut,0,0
2020-03-17,Nunavut,0,0
2020-03-18,Nunavut,0,0
2020-03-19,Nunavut,0,0
2020-03-20,Nunavut,0,0
2020-03-21,Nunavut,0,0
2020-03-22,Nunavut,0,0
2020-03-23,Nunavut,0,0
2020-03-24,Nunavut,0,0
2020-03-25,Nunavut,0,0
2020-03-26,Nunavut,0,0
2020-03-27,Nunavut,0,0
2020-03-28,Nunavut,0,0
2020-03-29,Nunavut,0,0
2020-03-30,Nunavut,0,0
2020-03-31,Nunavut,0,0
2020-04-01,Nunavut,0,0
2020-04-02,Nunavut,0,0
2020-04-03,Nunavut,0,0
2020-04-04,Nunavut,0,0
2020-04-05,Nunavut,0,0
2020-04-06,Nunavut,0,0
2020-04-07,Nunavut,0,0
2020-04-08,Nunavut,0,0
2020-04-09,Nunavut,0,0
2020-04-10,Nunavut,0,0
2020-04-11,Nunavut,0,0
2020-04-12,Nunavut,0,0
2020-01-25,NWT,0,0
2020-01-26,NWT,0,0
2020-01-27,NWT,0,0
2020-01-28,NWT,0,0
2020-01-29,NWT,0,0
2020-01-30,NWT,0,0
2020-01-31,NWT,0,0
2020-02-01,NWT,0,0
2020-02-02,NWT,0,0
2020-02-03,NWT,0,0
2020-02-04,NWT,0,0
2020-02-05,NWT,0,0
2020-02-06,NWT,0,0
2020-02-07,NWT,0,0
2020-02-08,NWT,0,0
2020-02-09,NWT,0,0
2020-02-10,NWT,0,0
2020-02-11,NWT,0,0
2020-02-12,NWT,0,0
2020-02-13,NWT,0,0
2020-02-14,NWT,0,0
2020-02-15,NWT,0,0
2020-02-16,NWT,0,0
2020-02-17,NWT,0,0
2020-02-18,NWT,0,0
2020-02-19,NWT,0,0
2020-02-20,NWT,0,0
2020-02-21,NWT,0,0
2020-02-22,NWT,0,0
2020-02-23,NWT,0,0
2020-02-24,NWT,0,0
2020-02-25,NWT,0,0
2020-02-26,NWT,0,0
2020-02-27,NWT,0,0
2020-02-28,NWT,0,0
2020-02-29,NWT,0,0
2020-03-01,NWT,0,0
2020-03-02,NWT,0,0
2020-03-03,NWT,0,0
2020-03-04,NWT,0,0
2020-03-05,NWT,0,0
2020-03-06,NWT,0,0
2020-03-07,NWT,0,0
2020-03-08,NWT,0,0
2020-03-09,NWT,0,0
2020-03-10,NWT,0,0
2020-03-11,NWT,0,0
2020-03-12,NWT,0,0
2020-03-13,NWT,0,0
2020-03-14,NWT,0,0
2020-03-15,NWT,0,0
2020-03-16,NWT,0,0
2020-03-17,NWT,0,0
2020-03-18,NWT,0,0
2020-03-19,NWT,0,0
2020-03-20,NWT,0,0
2020-03-21,NWT,1,1
2020-03-22,NWT,0,1
2020-03-23,NWT,0,1
2020-03-24,NWT,0,1
2020-03-25,NWT,0,1
2020-03-26,NWT,0,1
2020-03-27,NWT,0,1
2020-03-28,NWT,0,1
2020-03-29,NWT,0,1
2020-03-30,NWT,0,1
2020-03-31,NWT,0,1
2020-04-01,NWT,1,2
2020-04-02,NWT,0,2
2020-04-03,NWT,2,4
2020-04-04,NWT,0,4
2020-04-05,NWT,0,4
2020-04-06,NWT,1,5
2020-04-07,NWT,0,5
2020-04-08,NWT,0,5
2020-04-09,NWT,0,5
2020-04-10,NWT,0,5
2020-04-11,NWT,0,5
2020-04-12,NWT,0,5
2020-01-25,Ontario,1,1
2020-01-26,Ontario,0,1
2020-01-27,Ontario,1,2
2020-01-28,Ontario,0,2
2020-01-29,Ontario,0,2
2020-01-30,Ontario,0,2
2020-01-31,Ontario,1,3
2020-02-01,Ontario,0,3
2020-02-02,Ontario,0,3
2020-02-03,Ontario,0,3
2020-02-04,Ontario,0,3
2020-02-05,Ontario,0,3
2020-02-06,Ontario,0,3
2020-02-07,Ontario,0,3
2020-02-08,Ontario,0,3
2020-02-09,Ontario,0,3
2020-02-10,Ontario,0,3
2020-02-11,Ontario,0,3
2020-02-12,Ontario,0,3
2020-02-13,Ontario,0,3
2020-02-14,Ontario,0,3
2020-02-15,Ontario,0,3
2020-02-16,Ontario,0,3
2020-02-17,Ontario,0,3
2020-02-18,Ontario,0,3
2020-02-19,Ontario,0,3
2020-02-20,Ontario,0,3
2020-02-21,Ontario,0,3
2020-02-22,Ontario,0,3
2020-02-23,Ontario,1,4
2020-02-24,Ontario,0,4
2020-02-25,Ontario,0,4
2020-02-26,Ontario,1,5
2020-02-27,Ontario,1,6
2020-02-28,Ontario,2,8
2020-02-29,Ontario,3,11
2020-03-01,Ontario,4,15
2020-03-02,Ontario,0,15
2020-03-03,Ontario,5,20
2020-03-04,Ontario,0,20
2020-03-05,Ontario,2,22
2020-03-06,Ontario,6,28
2020-03-07,Ontario,0,28
2020-03-08,Ontario,4,32
2020-03-09,Ontario,3,35
2020-03-10,Ontario,2,37
2020-03-11,Ontario,5,42
2020-03-12,Ontario,17,59
2020-03-13,Ontario,20,79
2020-03-14,Ontario,24,103
2020-03-15,Ontario,42,145
2020-03-16,Ontario,32,177
2020-03-17,Ontario,12,189
2020-03-18,Ontario,25,214
2020-03-19,Ontario,44,258
2020-03-20,Ontario,60,318
2020-03-21,Ontario,59,377
2020-03-22,Ontario,48,425
2020-03-23,Ontario,78,503
2020-03-24,Ontario,85,588
2020-03-25,Ontario,100,688
2020-03-26,Ontario,170,858
2020-03-27,Ontario,135,993
2020-03-28,Ontario,151,1144
2020-03-29,Ontario,211,1355
2020-03-30,Ontario,351,1706
2020-03-31,Ontario,260,1966
2020-04-01,Ontario,885,2851
2020-04-02,Ontario,437,3288
2020-04-03,Ontario,398,3686
2020-04-04,Ontario,335,4021
2020-04-05,Ontario,420,4441
2020-04-06,Ontario,404,4845
2020-04-07,Ontario,546,5391
2020-04-08,Ontario,447,5838
2020-04-09,Ontario,559,6397
2020-04-10,Ontario,407,6804
2020-04-11,Ontario,490,7294
2020-04-12,Ontario,433,7727
2020-01-25,PEI,0,0
2020-01-26,PEI,0,0
2020-01-27,PEI,0,0
2020-01-28,PEI,0,0
2020-01-29,PEI,0,0
2020-01-30,PEI,0,0
2020-01-31,PEI,0,0
2020-02-01,PEI,0,0
2020-02-02,PEI,0,0
2020-02-03,PEI,0,0
2020-02-04,PEI,0,0
2020-02-05,PEI,0,0
2020-02-06,PEI,0,0
2020-02-07,PEI,0,0
2020-02-08,PEI,0,0
2020-02-09,PEI,0,0
2020-02-10,PEI,0,0
2020-02-11,PEI,0,0
2020-02-12,PEI,0,0
2020-02-13,PEI,0,0
2020-02-14,PEI,0,0
2020-02-15,PEI,0,0
2020-02-16,PEI,0,0
2020-02-17,PEI,0,0
2020-02-18,PEI,0,0
2020-02-19,PEI,0,0
2020-02-20,PEI,0,0
2020-02-21,PEI,0,0
2020-02-22,PEI,0,0
2020-02-23,PEI,0,0
2020-02-24,PEI,0,0
2020-02-25,PEI,0,0
2020-02-26,PEI,0,0
2020-02-27,PEI,0,0
2020-02-28,PEI,0,0
2020-02-29,PEI,0,0
2020-03-01,PEI,0,0
2020-03-02,PEI,0,0
2020-03-03,PEI,0,0
2020-03-04,PEI,0,0
2020-03-05,PEI,0,0
2020-03-06,PEI,0,0
2020-03-07,PEI,0,0
2020-03-08,PEI,0,0
2020-03-09,PEI,0,0
2020-03-10,PEI,0,0
2020-03-11,PEI,0,0
2020-03-12,PEI,0,0
2020-03-13,PEI,0,0
2020-03-14,PEI,1,1
2020-03-15,PEI,0,1
2020-03-16,PEI,0,1
2020-03-17,PEI,0,1
2020-03-18,PEI,0,1
2020-03-19,PEI,1,2
2020-03-20,PEI,0,2
2020-03-21,PEI,0,2
2020-03-22,PEI,1,3
2020-03-23,PEI,0,3
2020-03-24,PEI,0,3
2020-03-25,PEI,2,5
2020-03-26,PEI,4,9
2020-03-27,PEI,2,11
2020-03-28,PEI,0,11
2020-03-29,PEI,0,11
2020-03-30,PEI,7,18
2020-03-31,PEI,3,21
2020-04-01,PEI,0,21
2020-04-02,PEI,1,22
2020-04-03,PEI,0,22
2020-04-04,PEI,0,22
2020-04-05,PEI,0,22
2020-04-06,PEI,0,22
2020-04-07,PEI,0,22
2020-04-08,PEI,3,25
2020-04-09,PEI,0,25
2020-04-10,PEI,0,25
2020-04-11,PEI,0,25
2020-04-12,PEI,0,25
2020-01-25,Quebec,0,0
2020-01-26,Quebec,0,0
2020-01-27,Quebec,0,0
2020-01-28,Quebec,0,0
2020-01-29,Quebec,0,0
2020-01-30,Quebec,0,0
2020-01-31,Quebec,0,0
2020-02-01,Quebec,0,0
2020-02-02,Quebec,0,0
2020-02-03,Quebec,0,0
2020-02-04,Quebec,0,0
2020-02-05,Quebec,0,0
2020-02-06,Quebec,0,0
2020-02-07,Quebec,0,0
2020-02-08,Quebec,0,0
2020-02-09,Quebec,0,0
2020-02-10,Quebec,0,0
2020-02-11,Quebec,0,0
2020-02-12,Quebec,0,0
2020-02-13,Quebec,0,0
2020-02-14,Quebec,0,0
2020-02-15,Quebec,0,0
2020-02-16,Quebec,0,0
2020-02-17,Quebec,0,0
2020-02-18,Quebec,0,0
2020-02-19,Quebec,0,0
2020-02-20,Quebec,0,0
2020-02-21,Quebec,0,0
2020-02-22,Quebec,0,0
2020-02-23,Quebec,0,0
2020-02-24,Quebec,0,0
2020-02-25,Quebec,0,0
2020-02-26,Quebec,0,0
2020-02-27,Quebec,1,1
2020-02-28,Quebec,0,1
2020-02-29,Quebec,0,1
2020-03-01,Quebec,0,1
2020-03-02,Quebec,0,1
2020-03-03,Quebec,0,1
2020-03-04,Quebec,0,1
2020-03-05,Quebec,1,2
2020-03-06,Quebec,1,3
2020-03-07,Quebec,0,3
2020-03-08,Quebec,1,4
2020-03-09,Quebec,1,5
2020-03-10,Quebec,0,5
2020-03-11,Quebec,3,8
2020-03-12,Quebec,9,17
2020-03-13,Quebec,0,17
2020-03-14,Quebec,7,24
2020-03-15,Quebec,15,39
2020-03-16,Quebec,11,50
2020-03-17,Quebec,24,74
2020-03-18,Quebec,20,94
2020-03-19,Quebec,27,121
2020-03-20,Quebec,18,139
2020-03-21,Quebec,42,181
2020-03-22,Quebec,38,219
2020-03-23,Quebec,409,628
2020-03-24,Quebec,412,1040
2020-03-25,Quebec,299,1339
2020-03-26,Quebec,290,1629
2020-03-27,Quebec,392,2021
2020-03-28,Quebec,477,2498
2020-03-29,Quebec,342,2840
2020-03-30,Quebec,590,3430
2020-03-31,Quebec,732,4162
2020-04-01,Quebec,449,4611
2020-04-02,Quebec,907,5518
2020-04-03,Quebec,583,6101
2020-04-04,Quebec,896,6997
2020-04-05,Quebec,947,7944
2020-04-06,Quebec,636,8580
2020-04-07,Quebec,760,9340
